il,ilce,subeVar
Kahramanmaraş,Afşin,true
Kahramanmaraş,Andırın,false
Kahramanmaraş,Çağlayancerit,false
Kahramanmaraş,Dulkadiroğlu,true
Kahramanmaraş,Ekinözü,false
Kahramanmaraş,Elbistan,true
Kahramanmaraş,Göksun,false
Kahramanmaraş,Merkez,false
Kahramanmaraş,Nurhak,false
Kahramanmaraş,Onikişubat,false
Kahramanmaraş,Pazarcık,false
Kahramanmaraş,Türkoğlu,false
Karabük,Eflani,false
Karabük,Eskipazar,false
Karabük,Merkez,true
Karabük,Ovacık,false
Karabük,Safranbolu,true
Karabük,Yenice,false
Karaman,Ayrancı,false
Karaman,Başyayla,false
Karaman,Ermenek,false
Karaman,Kazımkarabekir,false
Karaman,Merkez,true
Karaman,Sarıveliler,false
Kars,Akyaka,false
Kars,Arpaçay,false
Kars,Digor,false
Kars,Kağızman,false
Kars,Merkez,true
Kars,Sarıkamış,true
Kars,Selim,false
Kars,Susuz,false
Kastamonu,Abana,false
Kastamonu,Ağlı,false
Kastamonu,Araç,false
Kastamonu,Azdavay,false
Kastamonu,Bozkurt,false
Kastamonu,Cide,false
Kastamonu,Çatalzeytin,false
Kastamonu,Daday,false
Kastamonu,Devrekani,false
Kastamonu,Doğanyurt,false
Kastamonu,Hanönü,false
Kastamonu,İhsangazi,false
Kastamonu,İnebolu,true
Kastamonu,Küre,false
Kastamonu,Merkez,false
Kastamonu,Pınarbaşı,false
Kastamonu,Seydiler,false
Kastamonu,Şenpazar,false
Kastamonu,Taşköprü,false
Kastamonu,Tosya,true
Kayseri,Akkışla,false
Kayseri,Bünyan,false
Kayseri,Develi,true
Kayseri,Felahiye,false
Kayseri,Hacılar,false
Kayseri,İncesu,false
Kayseri,Kocasinan,false
Kayseri,Melikgazi,true
Kayseri,Özvatan,false
Kayseri,Pınarbaşı,false
Kayseri,Sarıoğlan,false
Kayseri,Sarız,false
Kayseri,Talas,true
Kayseri,Tomarza,false
Kayseri,Yahyalı,false
Kayseri,Yeşilhisar,false
Kırıkkale,Bahşili,false
Kırıkkale,Balışeyh,false
Kırıkkale,Çelebi,false
Kırıkkale,Delice,false
Kırıkkale,Karakeçili,false
Kırıkkale,Keskin,false
Kırıkkale,Merkez,true
Kırıkkale,Sulakyurt,false
Kırıkkale,Yahşihan,false
Kırklareli,Babaeski,false
Kırklareli,Demirköy,false
Kırklareli,Kofçaz,false
Kırklareli,Lüleburgaz,true
Kırklareli,Merkez,true
Kırklareli,Pehlivanköy,false
Kırklareli,Pınarhisar,false
Kırklareli,Vize,false
Kırşehir,Akçakent,false
Kırşehir,Akpınar,false
Kırşehir,Boztepe,false
Kırşehir,Çiçekdağı,false
Kırşehir,Kaman,false
Kırşehir,Merkez,true
Kırşehir,Mucur,false
Kilis,Elbeyli,false
Kilis,Merkez,true
Kilis,Musabeyli,false
Kilis,Polateli,false
Kocaeli,Başiskele,false
Kocaeli,Çayırova,true
Kocaeli,Darıca,true
Kocaeli,Derince,true
Kocaeli,Dilovası,true
Kocaeli,Gebze,true
Kocaeli,Gölcük,true
Kocaeli,İzmit,true
Kocaeli,Kandıra,false
Kocaeli,Karamürsel,false
Kocaeli,Kartepe,false
Kocaeli,Körfez,false
Konya,Ahırlı,false
Konya,Akören,false
Konya,Akşehir,true
Konya,Altınekin,false
Konya,Beyşehir,true
Konya,Bozkır,false
Konya,Cihanbeyli,false
Konya,Çeltik,false
Konya,Çumra,true
Konya,Derbent,false
Konya,Derebucak,false
Konya,Doğanhisar,false
Konya,Emirgazi,false
Konya,Ereğli,true
Konya,Güneysınır,false
Konya,Hadim,false
Konya,Halkapınar,false
Konya,Hüyük,false
Konya,Ilgın,true
Konya,Kadınhanı,false
Konya,Karapınar,false
Konya,Karatay,true
Konya,Kulu,false
Konya,Meram,false
Konya,Sarayönü,false
Konya,Selçuklu,true
Konya,Seydişehir,true
Konya,Taşkent,false
Konya,Tuzlukçu,false
Konya,Yalıhüyük,false
Konya,Yunak,false
Kütahya,Altıntaş,false
Kütahya,Aslanapa,false
Kütahya,Çavdarhisar,false
Kütahya,Domaniç,false
Kütahya,Dumlupınar,true
Kütahya,Emet,false
Kütahya,Gediz,true
Kütahya,Hisarcık,false
Kütahya,Merkez,false
Kütahya,Pazarlar,false
Kütahya,Simav,true
Kütahya,Şaphane,false
Kütahya,Tavşanlı,true
Malatya,Akçadağ,false
Malatya,Arapgir,false
Malatya,Arguvan,false
Malatya,Battalgazi,true
Malatya,Darende,false
Malatya,Doğanşehir,false
Malatya,Doğanyol,false
Malatya,Hekimhan,false
Malatya,Kale,false
Malatya,Kuluncak,false
Malatya,Merkez,false
Malatya,Pütürge,false
Malatya,Yazıhan,false
Malatya,Yeşilyurt,true
Manisa,Ahmetli,false
Manisa,Akhisar,true
Manisa,Alaşehir,true
Manisa,Demirci,true
Manisa,Gölmarmara,false
Manisa,Gördes,false
Manisa,Kırkağaç,false
Manisa,Köprübaşı,false
Manisa,Kula,false
Manisa,Merkez,false
Manisa,Salihli,true
Manisa,Sarıgöl,false
Manisa,Saruhanlı,true
Manisa,Selendi,false
Manisa,Soma,true
Manisa,Şehzadeler,true
Manisa,Turgutlu,true
Manisa,Yunusemre,false
Mardin,Artuklu,true
Mardin,Dargeçit,false
Mardin,Derik,false
Mardin,Kızıltepe,false
Mardin,Mazıdağı,false
Mardin,Midyat,true
Mardin,Nusaybin,true
Mardin,Ömerli,false
Mardin,Savur,false
Mardin,Yeşilli,false
Mersin,Akdeniz,false
Mersin,Anamur,true
Mersin,Aydıncık,false
Mersin,Bozyazı,false
Mersin,Çamlıyayla,false
Mersin,Erdemli,true
Mersin,Gülnar,false
Mersin,Mezitli,true
Mersin,Mut,true
Mersin,Silifke,true
Mersin,Tarsus,true
Mersin,Toroslar,true
Mersin,Yenişehir,true
Muğla,Bodrum,true
Muğla,Dalaman,true
Muğla,Datça,true
Muğla,Fethiye,true
Muğla,Kavaklıdere,false
Muğla,Köyceğiz,true
Muğla,Marmaris,true
Muğla,Menteşe,true
Muğla,Merkez,true
Muğla,Milas,true
Muğla,Ortaca,true
Muğla,Seydikemer,false
Muğla,Ula,false
Muğla,Yatağan,true
Muş,Bulanık,false
Muş,Hasköy,false
Muş,Korkut,false
Muş,Malazgirt,false
Muş,Merkez,true
Muş,Varto,false
Nevşehir,Acıgöl,false
Nevşehir,Avanos,false
Nevşehir,Derinkuyu,false
Nevşehir,Gülşehir,false
Nevşehir,Hacıbektaş,false
Nevşehir,Kozaklı,false
Nevşehir,Merkez,true
Nevşehir,Ürgüp,true
Niğde,Altunhisar,false
Niğde,Bor,true
Niğde,Çamardı,false
Niğde,Çiftlik,false
Niğde,Merkez,true
Niğde,Ulukışla,false
Ordu,Akkuş,false
Ordu,Altınordu,false
Ordu,Aybastı,false
Ordu,Çamaş,false
Ordu,Çatalpınar,false
Ordu,Çaybaşı,false
Ordu,Fatsa,true
Ordu,Gölköy,false
Ordu,Gülyalı,false
Ordu,Gürgentepe,false
Ordu,İkizce,false
Ordu,Kabadüz,false
Ordu,Kabataş,false
Ordu,Korgan,false
Ordu,Kumru,false
Ordu,Merkez,true
Ordu,Mesudiye,false
Ordu,Perşembe,false
Ordu,Ulubey,false
Ordu,Ünye,true
Osmaniye,Bahçe,false
Osmaniye,Düziçi,true
Osmaniye,Hasanbeyli,false
Osmaniye,Kadirli,true
Osmaniye,Merkez,false
Osmaniye,Sumbas,false
Osmaniye,Toprakkale,false
Rize,Ardeşen,true
Rize,Çamlıhemşin,false
Rize,Çayeli,true
Rize,Derepazarı,false
Rize,Fındıklı,false
Rize,Güneysu,false
Rize,Hemşin,false
Rize,İkizdere,false
Rize,İyidere,false
Rize,Kalkandere,false
Rize,Merkez,false
Rize,Pazar,true
Sakarya,Adapazarı,true
Sakarya,Akyazı,true
Sakarya,Arifiye,true
Sakarya,Erenler,true
Sakarya,Ferizli,false
Sakarya,Geyve,true
Sakarya,Hendek,true
Sakarya,Karapürçek,false
Sakarya,Karasu,true
Sakarya,Kaynarca,false
Sakarya,Kocaali,false
Sakarya,Pamukova,false
Sakarya,Sapanca,true
Sakarya,Serdivan,true
Sakarya,Söğütlü,false
Sakarya,Taraklı,false
Samsun,19.may,false
Samsun,Alaçam,false
Samsun,Asarcık,false
Samsun,Atakum,true
Samsun,Ayvacık,false
Samsun,Bafra,true
Samsun,Canik,true
Samsun,Çarşamba,true
Samsun,Havza,false
Samsun,İlkadım,false
Samsun,Kavak,false
Samsun,Ladik,false
Samsun,Salıpazarı,false
Samsun,Tekkeköy,true
Samsun,Terme,true
Samsun,Vezirköprü,false
Samsun,Yakakent,false
Siirt,Baykan,false
Siirt,Eruh,false
Siirt,Kurtalan,false
Siirt,Merkez,true
Siirt,Pervari,false
Siirt,Şirvan,false
Siirt,Tillo,false
Sinop,Ayancık,false
Sinop,Boyabat,true
Sinop,Dikmen,false
Sinop,Durağan,false
Sinop,Erfelek,false
Sinop,Gerze,false
Sinop,Merkez,true
Sinop,Saraydüzü,false
Sinop,Türkeli,false
Sivas,Akıncılar,false
Sivas,Altınyayla,false
Sivas,Divriği,false
Sivas,Doğanşar,false
Sivas,Gemerek,false
Sivas,Gölova,false
Sivas,Gürün,false
Sivas,Hafik,false
Sivas,İmranlı,false
Sivas,Kangal,false
Sivas,Koyulhisar,false
Sivas,Merkez,false
Sivas,Suşehri,false
Sivas,Şarkışla,false
Sivas,Ulaş,false
Sivas,Yıldızeli,false
Sivas,Zara,false
Şanlıurfa,Akçakale,false
Şanlıurfa,Birecik,true
Şanlıurfa,Bozova,false
Şanlıurfa,Ceylanpınar,false
Şanlıurfa,Eyyübiye,false
Şanlıurfa,Halfeti,false
Şanlıurfa,Haliliye,true
Şanlıurfa,Harran,false
Şanlıurfa,Hilvan,false
Şanlıurfa,Karaköprü,false
Şanlıurfa,Merkez,false
Şanlıurfa,Siverek,true
Şanlıurfa,Suruç,false
Şanlıurfa,Viranşehir,false
Şırnak,Beytüşşebap,false
Şırnak,Cizre,true
Şırnak,Güçlükonak,false
Şırnak,İdil,false
Şırnak,Merkez,false
Şırnak,Silopi,true
Şırnak,Uludere,false
Tekirdağ,Çerkezköy,true
Tekirdağ,Çorlu,true
Tekirdağ,Ergene,true
Tekirdağ,Hayrabolu,false
Tekirdağ,Kapaklı,false
Tekirdağ,Malkara,true
Tekirdağ,Marmaraereğlisi,false
Tekirdağ,Merkez,false
Tekirdağ,Muratlı,true
Tekirdağ,Saray,true
Tekirdağ,Süleymanpaşa,false
Tekirdağ,Şarköy,true
Tokat,Almus,false
Tokat,Artova,false
Tokat,Başçiftlik,false
Tokat,Erbaa,true
Tokat,Merkez,true
Tokat,Niksar,true
Tokat,Pazar,false
Tokat,Reşadiye,false
Tokat,Sulusaray,false
Tokat,Turhal,true
Tokat,Yeşilyurt,false
Tokat,Zile,false
Trabzon,Akçaabat,true
Trabzon,Araklı,false
Trabzon,Arsin,false
Trabzon,Beşikdüzü,false
Trabzon,Çarşıbaşı,false
Trabzon,Çaykara,false
Trabzon,Dernekpazarı,false
Trabzon,Düzköy,false
Trabzon,Hayrat,false
Trabzon,Köprübaşı,false
Trabzon,Maçka,false
Trabzon,Merkez,false
Trabzon,Of,true
Trabzon,Ortahisar,true
Trabzon,Sürmene,false
Trabzon,Şalpazarı,false
Trabzon,Tonya,false
Trabzon,Vakfıkebir,false
Trabzon,Yomra,true
Tunceli,Çemişgezek,false
Tunceli,Hozat,false
Tunceli,Mazgirt,false
Tunceli,Merkez,true
Tunceli,Nazımiye,false
Tunceli,Ovacık,false
Tunceli,Pertek,false
Tunceli,Pülümür,false
Uşak,Banaz,true
Uşak,Eşme,false
Uşak,Karahallı,false
Uşak,Merkez,true
Uşak,Sivaslı,false
Uşak,Ulubey,false
Van,Bahçesaray,false
Van,Başkale,false
Van,Çaldıran,false
Van,Çatak,false
Van,Edremit,true
Van,Erciş,true
Van,Gevaş,false
Van,Gürpınar,false
Van,İpekyolu,false
Van,Merkez,true
Van,Muradiye,false
Van,Özalp,false
Van,Saray,false
Van,Tuşba,true
Yalova,Altınova,false
Yalova,Armutlu,false
Yalova,Çınarcık,false
Yalova,Çiftlikköy,false
Yalova,Merkez,true
Yalova,Termal,false
Yozgat,Akdağmadeni,false
Yozgat,Aydıncık,false
Yozgat,Boğazlıyan,false
Yozgat,Çandır,false
Yozgat,Çayıralan,false
Yozgat,Çekerek,false
Yozgat,Kadışehri,false
Yozgat,Merkez,true
Yozgat,Saraykent,false
Yozgat,Sarıkaya,false
Yozgat,Sorgun,true
Yozgat,Şefaatli,false
Yozgat,Yenifakılı,false
Yozgat,Yerköy,true
Zonguldak,Alaplı,false
Zonguldak,Çaycuma,false
Zonguldak,Devrek,true
Zonguldak,Ereğli,true
Zonguldak,Gökçebey,false
Zonguldak,Kilimli,false
Zonguldak,Kozlu,true
Zonguldak,Merkez,true
